Date,Close,Symbol
2001-12-31,21.9,WIKI/AAPL.4
2002-01-02,23.3,WIKI/AAPL.4
2002-01-03,23.58,WIKI/AAPL.4
2002-01-04,23.69,WIKI/AAPL.4
2002-01-07,22.9,WIKI/AAPL.4
2002-01-08,22.61,WIKI/AAPL.4
2002-01-09,21.65,WIKI/AAPL.4
2002-01-10,21.23,WIKI/AAPL.4
2002-01-11,21.05,WIKI/AAPL.4
2002-01-14,21.15,WIKI/AAPL.4
2002-01-15,21.7,WIKI/AAPL.4
2002-01-16,20.78,WIKI/AAPL.4
2002-01-17,22.48,WIKI/AAPL.4
2002-01-18,22.17,WIKI/AAPL.4
2002-01-22,21.82,WIKI/AAPL.4
2002-01-23,23.02,WIKI/AAPL.4
2002-01-24,23.21,WIKI/AAPL.4
2002-01-25,23.25,WIKI/AAPL.4
2002-01-28,23.27,WIKI/AAPL.4
2002-01-29,23.07,WIKI/AAPL.4
2002-01-30,24.09,WIKI/AAPL.4
2002-01-31,24.72,WIKI/AAPL.4
2002-02-01,24.41,WIKI/AAPL.4
2002-02-04,25.35,WIKI/AAPL.4
2002-02-05,25.45,WIKI/AAPL.4
2002-02-06,24.67,WIKI/AAPL.4
2002-02-07,24.3,WIKI/AAPL.4
2002-02-08,24.03,WIKI/AAPL.4
2002-02-11,24.98,WIKI/AAPL.4
2002-02-12,24.71,WIKI/AAPL.4
2002-02-13,25.01,WIKI/AAPL.4
2002-02-14,24.6,WIKI/AAPL.4
2002-02-15,23.9,WIKI/AAPL.4
2002-02-19,22.62,WIKI/AAPL.4
2002-02-20,23.13,WIKI/AAPL.4
2002-02-21,21.5,WIKI/AAPL.4
2002-02-22,22.74,WIKI/AAPL.4
2002-02-25,23.81,WIKI/AAPL.4
2002-02-26,23.67,WIKI/AAPL.4
2002-02-27,21.96,WIKI/AAPL.4
2002-02-28,21.7,WIKI/AAPL.4
2002-03-01,23.45,WIKI/AAPL.4
2002-03-04,24.29,WIKI/AAPL.4
2002-03-05,23.53,WIKI/AAPL.4
2002-03-06,24.07,WIKI/AAPL.4
2002-03-07,24.38,WIKI/AAPL.4
2002-03-08,24.66,WIKI/AAPL.4
2002-03-11,25.06,WIKI/AAPL.4
2002-03-12,24.72,WIKI/AAPL.4
2002-03-13,24.49,WIKI/AAPL.4
2002-03-14,24.43,WIKI/AAPL.4
2002-03-15,24.95,WIKI/AAPL.4
2002-03-18,24.74,WIKI/AAPL.4
2002-03-19,24.85,WIKI/AAPL.4
2002-03-20,24.92,WIKI/AAPL.4
2002-03-21,24.27,WIKI/AAPL.4
2002-03-22,24.09,WIKI/AAPL.4
2002-03-25,23.35,WIKI/AAPL.4
2002-03-26,23.46,WIKI/AAPL.4
2002-03-27,23.47,WIKI/AAPL.4
2002-03-28,23.67,WIKI/AAPL.4
2002-04-01,24.46,WIKI/AAPL.4
2002-04-02,24.07,WIKI/AAPL.4
2002-04-03,23.75,WIKI/AAPL.4
2002-04-04,24.9,WIKI/AAPL.4
2002-04-05,24.74,WIKI/AAPL.4
2002-04-08,24.56,WIKI/AAPL.4
2002-04-09,24.1,WIKI/AAPL.4
2002-04-10,24.66,WIKI/AAPL.4
2002-04-11,24.86,WIKI/AAPL.4
2002-04-12,25.06,WIKI/AAPL.4
2002-04-15,25.0,WIKI/AAPL.4
2002-04-16,25.74,WIKI/AAPL.4
2002-04-17,26.11,WIKI/AAPL.4
2002-04-18,25.41,WIKI/AAPL.4
2002-04-19,24.98,WIKI/AAPL.4
2002-04-22,24.53,WIKI/AAPL.4
2002-04-23,24.25,WIKI/AAPL.4
2002-04-24,23.77,WIKI/AAPL.4
2002-04-25,24.12,WIKI/AAPL.4
2002-04-26,23.01,WIKI/AAPL.4
2002-04-29,23.96,WIKI/AAPL.4
2002-04-30,24.27,WIKI/AAPL.4
2002-05-01,23.98,WIKI/AAPL.4
2002-05-02,23.69,WIKI/AAPL.4
2002-05-03,23.51,WIKI/AAPL.4
2002-05-06,22.65,WIKI/AAPL.4
2002-05-07,22.47,WIKI/AAPL.4
2002-05-08,24.37,WIKI/AAPL.4
2002-05-09,24.19,WIKI/AAPL.4
2002-05-10,23.32,WIKI/AAPL.4
2002-05-13,23.94,WIKI/AAPL.4
2002-05-14,25.61,WIKI/AAPL.4
2002-05-15,25.28,WIKI/AAPL.4
2002-05-16,25.21,WIKI/AAPL.4
2002-05-17,25.01,WIKI/AAPL.4
2002-05-20,24.74,WIKI/AAPL.4
2002-05-21,23.46,WIKI/AAPL.4
2002-05-22,24.32,WIKI/AAPL.4
2002-05-23,25.18,WIKI/AAPL.4
2002-05-24,24.15,WIKI/AAPL.4
2002-05-28,23.98,WIKI/AAPL.4
2002-05-29,23.98,WIKI/AAPL.4
2002-05-30,24.2,WIKI/AAPL.4
2002-05-31,23.3,WIKI/AAPL.4
2002-06-03,22.91,WIKI/AAPL.4
2002-06-04,22.78,WIKI/AAPL.4
2002-06-05,22.72,WIKI/AAPL.4
2002-06-06,22.16,WIKI/AAPL.4
2002-06-07,21.4,WIKI/AAPL.4
2002-06-10,21.48,WIKI/AAPL.4
2002-06-11,20.46,WIKI/AAPL.4
2002-06-12,20.09,WIKI/AAPL.4
2002-06-13,19.54,WIKI/AAPL.4
2002-06-14,20.1,WIKI/AAPL.4
2002-06-17,20.54,WIKI/AAPL.4
2002-06-18,20.15,WIKI/AAPL.4
2002-06-19,17.12,WIKI/AAPL.4
2002-06-20,17.11,WIKI/AAPL.4
2002-06-21,16.85,WIKI/AAPL.4
2002-06-24,17.27,WIKI/AAPL.4
2002-06-25,17.14,WIKI/AAPL.4
2002-06-26,16.55,WIKI/AAPL.4
2002-06-27,17.06,WIKI/AAPL.4
2002-06-28,17.72,WIKI/AAPL.4
2002-07-01,17.06,WIKI/AAPL.4
2002-07-02,16.94,WIKI/AAPL.4
2002-07-03,17.55,WIKI/AAPL.4
2002-07-05,18.74,WIKI/AAPL.4
2002-07-08,18.01,WIKI/AAPL.4
2002-07-09,17.53,WIKI/AAPL.4
2002-07-10,17.32,WIKI/AAPL.4
2002-07-11,18.3,WIKI/AAPL.4
2002-07-12,17.5,WIKI/AAPL.4
2002-07-15,18.23,WIKI/AAPL.4
2002-07-16,17.86,WIKI/AAPL.4
2002-07-17,15.63,WIKI/AAPL.4
2002-07-18,14.99,WIKI/AAPL.4
2002-07-19,14.96,WIKI/AAPL.4
2002-07-22,14.92,WIKI/AAPL.4
2002-07-23,14.47,WIKI/AAPL.4
2002-07-24,15.2,WIKI/AAPL.4
2002-07-25,14.36,WIKI/AAPL.4
2002-07-26,14.34,WIKI/AAPL.4
2002-07-29,15.02,WIKI/AAPL.4
2002-07-30,15.43,WIKI/AAPL.4
2002-07-31,15.26,WIKI/AAPL.4
2002-08-01,14.8,WIKI/AAPL.4
2002-08-02,14.45,WIKI/AAPL.4
2002-08-05,13.99,WIKI/AAPL.4
2002-08-06,14.74,WIKI/AAPL.4
2002-08-07,15.03,WIKI/AAPL.4
2002-08-08,15.3,WIKI/AAPL.4
2002-08-09,15.0,WIKI/AAPL.4
2002-08-12,14.99,WIKI/AAPL.4
2002-08-13,14.59,WIKI/AAPL.4
2002-08-14,15.17,WIKI/AAPL.4
2002-08-15,15.61,WIKI/AAPL.4
2002-08-16,15.81,WIKI/AAPL.4
2002-08-19,15.98,WIKI/AAPL.4
2002-08-20,15.91,WIKI/AAPL.4
2002-08-21,16.12,WIKI/AAPL.4
2002-08-22,15.97,WIKI/AAPL.4
2002-08-23,15.73,WIKI/AAPL.4
2002-08-26,15.53,WIKI/AAPL.4
2002-08-27,14.85,WIKI/AAPL.4
2002-08-28,14.7,WIKI/AAPL.4
2002-08-29,14.7,WIKI/AAPL.4
2002-08-30,14.75,WIKI/AAPL.4
2002-09-03,14.05,WIKI/AAPL.4
2002-09-04,14.48,WIKI/AAPL.4
2002-09-05,14.18,WIKI/AAPL.4
2002-09-06,14.38,WIKI/AAPL.4
2002-09-09,14.37,WIKI/AAPL.4
2002-09-10,14.33,WIKI/AAPL.4
2002-09-11,14.29,WIKI/AAPL.4
2002-09-12,14.14,WIKI/AAPL.4
2002-09-13,14.17,WIKI/AAPL.4
2002-09-16,14.5,WIKI/AAPL.4
2002-09-17,14.8,WIKI/AAPL.4
2002-09-18,15.02,WIKI/AAPL.4
2002-09-19,14.58,WIKI/AAPL.4
2002-09-20,14.87,WIKI/AAPL.4
2002-09-23,14.85,WIKI/AAPL.4
2002-09-24,14.64,WIKI/AAPL.4
2002-09-25,14.93,WIKI/AAPL.4
2002-09-26,14.7,WIKI/AAPL.4
2002-09-27,14.72,WIKI/AAPL.4
2002-09-30,14.5,WIKI/AAPL.4
2002-10-01,14.51,WIKI/AAPL.4
2002-10-02,14.17,WIKI/AAPL.4
2002-10-03,14.3,WIKI/AAPL.4
2002-10-04,14.03,WIKI/AAPL.4
2002-10-07,13.77,WIKI/AAPL.4
2002-10-08,13.69,WIKI/AAPL.4
2002-10-09,13.6,WIKI/AAPL.4
2002-10-10,14.12,WIKI/AAPL.4
2002-10-11,14.51,WIKI/AAPL.4
2002-10-14,14.77,WIKI/AAPL.4
2002-10-15,15.16,WIKI/AAPL.4
2002-10-16,14.56,WIKI/AAPL.4
2002-10-17,14.11,WIKI/AAPL.4
2002-10-18,14.34,WIKI/AAPL.4
2002-10-21,14.56,WIKI/AAPL.4
2002-10-22,14.7,WIKI/AAPL.4
2002-10-23,14.88,WIKI/AAPL.4
2002-10-24,14.69,WIKI/AAPL.4
2002-10-25,15.42,WIKI/AAPL.4
2002-10-28,15.61,WIKI/AAPL.4
2002-10-29,15.44,WIKI/AAPL.4
2002-10-30,15.98,WIKI/AAPL.4
2002-10-31,16.07,WIKI/AAPL.4
2002-11-01,16.36,WIKI/AAPL.4
2002-11-04,16.89,WIKI/AAPL.4
2002-11-05,16.9,WIKI/AAPL.4
2002-11-06,17.22,WIKI/AAPL.4
2002-11-07,16.0,WIKI/AAPL.4
2002-11-08,15.84,WIKI/AAPL.4
2002-11-11,15.16,WIKI/AAPL.4
2002-11-12,15.64,WIKI/AAPL.4
2002-11-13,15.59,WIKI/AAPL.4
2002-11-14,16.3,WIKI/AAPL.4
2002-11-15,15.95,WIKI/AAPL.4
2002-11-18,15.65,WIKI/AAPL.4
2002-11-19,15.27,WIKI/AAPL.4
2002-11-20,15.53,WIKI/AAPL.4
2002-11-21,16.35,WIKI/AAPL.4
2002-11-22,16.01,WIKI/AAPL.4
2002-11-25,15.97,WIKI/AAPL.4
2002-11-26,15.41,WIKI/AAPL.4
2002-11-27,15.72,WIKI/AAPL.4
2002-11-29,15.5,WIKI/AAPL.4
2002-12-02,15.18,WIKI/AAPL.4
2002-12-03,15.16,WIKI/AAPL.4
2002-12-04,14.97,WIKI/AAPL.4
2002-12-05,14.63,WIKI/AAPL.4
2002-12-06,14.95,WIKI/AAPL.4
2002-12-09,14.75,WIKI/AAPL.4
2002-12-10,15.28,WIKI/AAPL.4
2002-12-11,15.49,WIKI/AAPL.4
2002-12-12,15.19,WIKI/AAPL.4
2002-12-13,14.79,WIKI/AAPL.4
2002-12-16,14.85,WIKI/AAPL.4
2002-12-17,15.08,WIKI/AAPL.4
2002-12-18,14.57,WIKI/AAPL.4
2002-12-19,14.2,WIKI/AAPL.4
2002-12-20,14.14,WIKI/AAPL.4
