timestamp,open,high,low,close,volume,trade_count,vwap,Symbol
2015-12-01 05:00:00+00:00,118.73,118.81,116.86,117.34,34852374,187129,117.75676,AAPL
2015-12-02 05:00:00+00:00,117.0,118.11,116.08,116.28,33385643,180616,117.151198,AAPL
2015-12-03 05:00:00+00:00,116.55,116.79,114.22,115.2,41560785,245330,115.434888,AAPL
2015-12-04 05:00:00+00:00,115.2,119.25,115.11,119.03,57776977,307788,118.18729,AAPL
2015-12-07 05:00:00+00:00,118.98,119.86,117.81,118.28,32080754,190809,118.509111,AAPL
2015-12-08 05:00:00+00:00,117.5,118.6,116.86,118.23,34309450,186353,117.821219,AAPL
2015-12-09 05:00:00+00:00,117.55,117.69,115.08,115.62,45852027,242397,116.097962,AAPL
2015-12-10 05:00:00+00:00,116.23,116.94,115.51,116.17,29212727,169277,116.168612,AAPL
2015-12-11 05:00:00+00:00,114.94,115.39,112.851,113.18,46886161,273846,113.702024,AAPL
2015-12-14 05:00:00+00:00,112.0,112.68,109.79,112.48,64941651,371153,111.41268,AAPL
2015-12-15 05:00:00+00:00,112.0,112.8,110.35,110.49,53278905,310644,111.534103,AAPL
2015-12-16 05:00:00+00:00,111.09,111.99,108.8,111.34,56231067,330121,110.270804,AAPL
2015-12-17 05:00:00+00:00,112.05,112.25,108.98,108.98,44772827,255830,110.078675,AAPL
2015-12-18 05:00:00+00:00,108.69,109.52,105.81,106.03,96168327,370241,107.003013,AAPL
2015-12-21 05:00:00+00:00,107.3,107.37,105.57,107.33,47587105,240525,106.702582,AAPL
2015-12-22 05:00:00+00:00,107.45,107.72,106.451,107.23,32789367,187168,107.131468,AAPL
2015-12-23 05:00:00+00:00,107.26,108.85,107.2,108.61,32636354,170514,108.33255,AAPL
2015-12-24 05:00:00+00:00,108.95,109.0,107.95,108.03,13596680,77466,108.350501,AAPL
2015-12-28 05:00:00+00:00,107.6,107.69,106.1807,106.82,26686210,157534,106.853073,AAPL
2015-12-29 05:00:00+00:00,106.88,109.43,106.86,108.74,30931197,174919,108.363406,AAPL
2015-12-30 05:00:00+00:00,108.58,108.7,107.18,107.32,25213777,140575,107.63745,AAPL
2015-12-31 05:00:00+00:00,107.0,107.03,104.82,105.26,40852316,217791,105.62815,AAPL
2016-01-04 05:00:00+00:00,102.5,105.368,102.0,105.35,67611658,351450,104.048524,AAPL
2016-01-05 05:00:00+00:00,105.7,105.85,102.41,102.71,55787192,321363,103.415766,AAPL
2016-01-06 05:00:00+00:00,100.5,102.37,99.87,100.7,68340388,409162,100.852488,AAPL
2016-01-07 05:00:00+00:00,98.71,100.13,96.43,96.45,81094357,462834,98.069324,AAPL
2016-01-08 05:00:00+00:00,98.53,99.11,96.76,96.96,70797966,419804,97.923007,AAPL
2016-01-11 05:00:00+00:00,98.94,99.06,97.34,98.53,49725577,292281,98.138764,AAPL
2016-01-12 05:00:00+00:00,100.49,100.69,98.8399,99.96,49154227,282809,99.752424,AAPL
2016-01-13 05:00:00+00:00,100.57,101.19,97.3,97.39,62439631,362015,99.347087,AAPL
2016-01-14 05:00:00+00:00,97.9,100.48,95.74,99.52,63170127,362780,98.303104,AAPL
2016-01-15 05:00:00+00:00,95.91,97.71,95.36,97.13,79813891,447030,96.722462,AAPL
2016-01-19 05:00:00+00:00,98.38,98.65,95.5,96.66,53087747,291403,96.881894,AAPL
2016-01-20 05:00:00+00:00,95.1,98.1897,93.42,96.79,72334416,431729,95.220869,AAPL
2016-01-21 05:00:00+00:00,97.12,97.88,94.94,96.3,52139358,301287,96.644299,AAPL
2016-01-22 05:00:00+00:00,98.64,101.46,98.37,101.42,65800467,375468,100.047743,AAPL
2016-01-25 05:00:00+00:00,101.44,101.53,99.21,99.44,51758287,281832,100.407199,AAPL
2016-01-26 05:00:00+00:00,99.5,100.88,98.07,99.99,75077002,402738,99.720065,AAPL
2016-01-27 05:00:00+00:00,96.03,96.6289,93.34,93.42,133369674,683976,94.885945,AAPL
2016-01-28 05:00:00+00:00,93.88,94.52,92.39,94.09,55678673,338197,93.625729,AAPL
2016-01-29 05:00:00+00:00,94.52,97.34,94.35,97.34,64416504,330860,96.270569,AAPL
2016-02-01 05:00:00+00:00,96.46,96.71,95.4,96.43,40942818,236716,96.226961,AAPL
2016-02-02 05:00:00+00:00,95.47,96.04,94.28,94.48,36648645,232921,95.074996,AAPL
2016-02-03 05:00:00+00:00,94.99,96.84,94.08,96.35,45946344,297821,95.342788,AAPL
2016-02-04 05:00:00+00:00,95.85,97.33,95.19,96.6,46471652,265044,96.31054,AAPL
2016-02-05 05:00:00+00:00,96.51,96.92,93.69,94.02,46418064,288658,94.91507,AAPL
2016-02-08 05:00:00+00:00,93.07,95.7,93.04,95.01,54020975,353979,94.214724,AAPL
2016-02-09 05:00:00+00:00,94.29,95.94,93.93,94.99,44331195,273869,94.863568,AAPL
2016-02-10 05:00:00+00:00,95.91,96.35,94.1,94.27,42343601,265623,95.266254,AAPL
2016-02-11 05:00:00+00:00,93.79,94.72,92.59,93.7,50074711,315317,93.587102,AAPL
2016-02-12 05:00:00+00:00,94.26,94.5,93.01,93.99,40351381,244084,93.747999,AAPL
2016-02-16 05:00:00+00:00,95.0,96.85,94.61,96.64,49057616,267841,95.943137,AAPL
2016-02-17 05:00:00+00:00,96.75,98.21,96.15,98.12,44863243,243457,97.41225,AAPL
2016-02-18 05:00:00+00:00,98.75,98.89,96.091,96.26,39020983,215834,96.985019,AAPL
2016-02-19 05:00:00+00:00,96.0,96.7599,95.8,96.04,35345373,188224,96.22194,AAPL
2016-02-22 05:00:00+00:00,96.25,96.9,95.92,96.88,34280458,187680,96.408009,AAPL
2016-02-23 05:00:00+00:00,96.4,96.5,94.55,94.69,31942633,199764,95.276188,AAPL
2016-02-24 05:00:00+00:00,93.98,96.38,93.32,96.1,36255745,220035,94.796581,AAPL
2016-02-25 05:00:00+00:00,96.16,96.76,95.25,96.76,27332659,173260,96.04577,AAPL
2016-02-26 05:00:00+00:00,97.2,98.0237,96.58,96.91,28991131,172880,97.230733,AAPL
2016-02-29 05:00:00+00:00,96.85,98.23,96.65,96.69,35216277,175887,97.351678,AAPL
2016-03-01 05:00:00+00:00,97.65,100.77,97.42,100.53,50372965,294792,99.639696,AAPL
2016-03-02 05:00:00+00:00,100.51,100.89,99.64,100.75,33169560,190904,100.213956,AAPL
2016-03-03 05:00:00+00:00,100.59,101.7099,100.45,101.5,36709242,209590,101.197142,AAPL
2016-03-04 05:00:00+00:00,102.27,103.75,101.37,103.01,46048450,246861,102.71522,AAPL
2016-03-07 05:00:00+00:00,102.52,102.83,100.96,101.87,35915810,211392,101.907181,AAPL
2016-03-08 05:00:00+00:00,100.78,101.76,100.4,101.03,31481889,187692,101.134074,AAPL
2016-03-09 05:00:00+00:00,101.34,101.58,100.27,101.12,27201683,169252,100.995115,AAPL
2016-03-10 05:00:00+00:00,101.47,102.24,100.15,101.17,33513577,206148,101.112812,AAPL
2016-03-11 05:00:00+00:00,102.24,102.28,101.5,102.26,27394213,155549,101.977045,AAPL
2016-03-14 04:00:00+00:00,102.0,102.91,101.78,102.52,25076062,145485,102.452681,AAPL
2016-03-15 04:00:00+00:00,103.91,105.18,103.85,104.58,40067734,225937,104.613539,AAPL
2016-03-16 04:00:00+00:00,104.61,106.31,104.59,105.97,38282593,230348,105.538125,AAPL
2016-03-17 04:00:00+00:00,105.42,106.47,104.96,105.8,34420705,175510,105.794428,AAPL
2016-03-18 04:00:00+00:00,106.48,106.5,105.19,105.92,44205171,175168,105.962661,AAPL
2016-03-21 04:00:00+00:00,106.0,107.65,105.1401,105.91,35395478,208778,106.210782,AAPL
2016-03-22 04:00:00+00:00,105.25,107.29,105.21,106.72,32444020,174143,106.751012,AAPL
2016-03-23 04:00:00+00:00,106.46,107.07,105.9,106.13,25703495,146397,106.476262,AAPL
2016-03-24 04:00:00+00:00,105.59,106.25,104.89,105.67,26132955,143295,105.491857,AAPL
2016-03-28 04:00:00+00:00,106.0,106.19,105.06,105.19,19411372,112797,105.451349,AAPL
2016-03-29 04:00:00+00:00,105.0,107.79,104.88,107.68,31190083,175677,106.9208,AAPL
2016-03-30 04:00:00+00:00,108.64,110.42,108.6,109.56,45601149,230965,109.568071,AAPL
2016-03-31 04:00:00+00:00,109.69,109.9,108.88,108.99,25888449,135628,109.262943,AAPL
2016-04-01 04:00:00+00:00,108.78,110.0,108.2,109.99,25873950,131199,109.45254,AAPL
2016-04-04 04:00:00+00:00,110.41,112.19,110.27,111.12,37228704,208851,111.38352,AAPL
2016-04-05 04:00:00+00:00,109.65,110.73,109.42,109.81,26578652,162226,110.022565,AAPL
2016-04-06 04:00:00+00:00,110.22,110.98,109.2,110.96,26404077,150637,110.147213,AAPL
2016-04-07 04:00:00+00:00,110.0,110.42,108.121,108.54,31801870,182057,109.150626,AAPL
2016-04-08 04:00:00+00:00,108.94,109.77,108.17,108.66,23581740,147761,108.943433,AAPL
2016-04-11 04:00:00+00:00,108.97,110.61,108.83,109.02,29374018,167025,109.781567,AAPL
2016-04-12 04:00:00+00:00,109.45,110.5,108.66,110.44,27232325,166943,109.781128,AAPL
2016-04-13 04:00:00+00:00,111.0,112.34,110.8,112.04,33257316,192789,111.853965,AAPL
2016-04-14 04:00:00+00:00,111.64,112.39,111.33,112.1,25473923,142189,111.903059,AAPL
2016-04-15 04:00:00+00:00,112.06,112.3,109.73,109.85,46867869,227930,110.681716,AAPL
2016-04-18 04:00:00+00:00,108.9,108.95,106.94,107.48,60821211,281030,107.85523,AAPL
2016-04-19 04:00:00+00:00,107.81,108.0,106.23,106.91,32384879,191756,106.981809,AAPL
2016-04-20 04:00:00+00:00,106.66,108.09,106.06,107.13,30545030,167265,107.341254,AAPL
2016-04-21 04:00:00+00:00,106.9,106.93,105.52,105.97,31552525,184327,106.026525,AAPL
