,open,high,low,last,close,volume,date,symbol,exchange
0,135.235,135.235,135.235,,,,2022-06-23T00:00:00+0000,AAPL,IEXG
1,136.455,136.51,136.41,,,,2022-06-22T23:00:00+0000,AAPL,IEXG
2,136.07,136.165,136.03,,,,2022-06-22T22:00:00+0000,AAPL,IEXG
3,136.03,136.09,135.86,,,,2022-06-22T21:00:00+0000,AAPL,IEXG
4,135.48,135.715,135.455,,,,2022-06-22T20:00:00+0000,AAPL,IEXG
5,133.55,137.755,133.42,136.49,135.87,995128.0,2022-06-22T19:00:00+0000,AAPL,IEXG
6,133.55,137.755,133.42,136.115,135.87,854173.0,2022-06-22T18:00:00+0000,AAPL,IEXG
7,133.55,137.755,133.42,136.08,135.87,753646.0,2022-06-22T17:00:00+0000,AAPL,IEXG
8,133.55,137.755,133.42,135.52,135.87,641688.0,2022-06-22T16:00:00+0000,AAPL,IEXG
9,133.55,137.755,133.42,136.83,135.87,416222.0,2022-06-22T15:00:00+0000,AAPL,IEXG
10,133.55,135.93,133.42,135.75,135.87,167810.0,2022-06-22T14:00:00+0000,AAPL,IEXG
11,133.55,134.08,133.42,133.98,135.87,1945.0,2022-06-22T13:00:00+0000,AAPL,IEXG
12,135.87,135.87,135.87,,,,2022-06-22T00:00:00+0000,AAPL,IEXG
13,136.19,136.225,136.13,,,,2022-06-21T23:00:00+0000,AAPL,IEXG
14,135.825,135.83,135.755,,,,2022-06-21T22:00:00+0000,AAPL,IEXG
15,136.07,136.095,135.99,,,,2022-06-21T21:00:00+0000,AAPL,IEXG
16,135.995,136.04,135.96,,,,2022-06-21T20:00:00+0000,AAPL,IEXG
17,133.4,137.05,133.33,136.21,131.56,1378361.0,2022-06-21T19:00:00+0000,AAPL,IEXG
18,133.4,137.05,133.33,135.825,131.56,1221386.0,2022-06-21T18:00:00+0000,AAPL,IEXG
19,133.4,137.05,133.33,136.075,131.56,1125905.0,2022-06-21T17:00:00+0000,AAPL,IEXG
20,133.4,137.05,133.33,136.0,131.56,977636.0,2022-06-21T16:00:00+0000,AAPL,IEXG
21,133.4,136.895,133.33,136.82,131.56,774320.0,2022-06-21T15:00:00+0000,AAPL,IEXG
22,133.4,136.45,133.33,136.44,131.56,434718.0,2022-06-21T14:00:00+0000,AAPL,IEXG
23,131.44,131.44,131.44,,,,2022-06-18T00:00:00+0000,AAPL,IEXG
24,131.87,132.07,131.87,,,,2022-06-17T23:00:00+0000,AAPL,IEXG
25,132.08,132.125,132.0,,,,2022-06-17T22:00:00+0000,AAPL,IEXG
26,131.98,132.07,131.855,,,,2022-06-17T21:00:00+0000,AAPL,IEXG
27,131.33,131.37,131.18,,,,2022-06-17T20:00:00+0000,AAPL,IEXG
28,131.27,133.07,129.82,131.88,130.06,1412767.0,2022-06-17T19:00:00+0000,AAPL,IEXG
29,131.27,133.07,129.82,132.12,130.06,1182402.0,2022-06-17T18:00:00+0000,AAPL,IEXG
30,131.27,132.83,129.82,131.97,130.06,970961.0,2022-06-17T17:00:00+0000,AAPL,IEXG
31,131.27,132.65,129.82,130.6,130.06,569159.0,2022-06-17T15:00:00+0000,AAPL,IEXG
32,131.27,132.65,129.98,132.12,130.06,280708.0,2022-06-17T14:00:00+0000,AAPL,IEXG
33,131.27,131.38,130.63,130.68,130.06,1700.0,2022-06-17T13:00:00+0000,AAPL,IEXG
34,130.21,130.21,130.21,,,,2022-06-17T00:00:00+0000,AAPL,IEXG
35,129.535,129.84,129.48,,,,2022-06-16T23:00:00+0000,AAPL,IEXG
36,130.01,130.03,129.93,,,,2022-06-16T22:00:00+0000,AAPL,IEXG
37,131.03,131.12,130.935,,,,2022-06-16T21:00:00+0000,AAPL,IEXG
38,132.23,133.45,129.07,130.21,135.43,2265868.0,2022-06-16T20:00:00+0000,AAPL,IEXG
39,132.23,133.45,129.295,129.51,135.43,1668543.0,2022-06-16T19:00:00+0000,AAPL,IEXG
40,132.23,133.45,129.89,130.02,135.43,1368122.0,2022-06-16T18:00:00+0000,AAPL,IEXG
41,132.23,133.45,129.89,131.045,135.43,1088623.0,2022-06-16T17:00:00+0000,AAPL,IEXG
42,132.23,133.45,129.89,130.89,135.43,849809.0,2022-06-16T16:00:00+0000,AAPL,IEXG
43,132.23,133.45,129.89,130.1,135.43,586449.0,2022-06-16T15:00:00+0000,AAPL,IEXG
44,132.23,133.45,130.5,131.2,135.43,243865.0,2022-06-16T14:00:00+0000,AAPL,IEXG
45,132.23,133.45,132.23,132.68,135.43,5138.0,2022-06-16T13:00:00+0000,AAPL,IEXG
46,135.46,135.46,135.46,,,,2022-06-16T00:00:00+0000,AAPL,IEXG
47,134.88,135.6,134.785,,,,2022-06-15T23:00:00+0000,AAPL,IEXG
48,134.24,135.27,133.69,,,,2022-06-15T22:00:00+0000,AAPL,IEXG
49,133.62,133.62,133.5,,,,2022-06-15T21:00:00+0000,AAPL,IEXG
50,134.43,134.465,134.37,,,,2022-06-15T20:00:00+0000,AAPL,IEXG
51,134.01,136.48,132.18,135.57,132.76,1260424.0,2022-06-15T19:00:00+0000,AAPL,IEXG
52,134.225,134.43,134.09,,,,2022-06-15T18:00:00+0000,AAPL,IEXG
53,134.01,134.88,133.38,133.58,132.76,898015.0,2022-06-15T17:00:00+0000,AAPL,IEXG
54,134.01,134.74,133.38,133.83,132.76,560169.0,2022-06-15T15:00:00+0000,AAPL,IEXG
55,134.01,134.74,133.58,134.22,132.76,199951.0,2022-06-15T14:00:00+0000,AAPL,IEXG
56,132.64,132.64,132.64,,,,2022-06-15T00:00:00+0000,AAPL,IEXG
57,132.4,132.45,132.28,,,,2022-06-14T23:00:00+0000,AAPL,IEXG
58,132.495,132.64,132.455,,,,2022-06-14T22:00:00+0000,AAPL,IEXG
59,132.51,132.645,132.495,,,,2022-06-14T21:00:00+0000,AAPL,IEXG
60,132.81,132.84,132.46,,,,2022-06-14T20:00:00+0000,AAPL,IEXG
61,133.09,133.89,131.48,132.35,131.88,578967.0,2022-06-14T19:00:00+0000,AAPL,IEXG
62,133.09,133.89,131.48,132.455,131.88,396485.0,2022-06-14T18:00:00+0000,AAPL,IEXG
63,133.09,133.77,131.48,132.545,131.88,281144.0,2022-06-14T17:00:00+0000,AAPL,IEXG
64,133.09,133.77,131.48,132.77,131.88,167055.0,2022-06-14T16:00:00+0000,AAPL,IEXG
65,133.09,133.77,131.48,132.56,131.88,19449.0,2022-06-14T15:00:00+0000,AAPL,IEXG
66,132.62,133.77,131.535,133.13,131.88,218488.0,2022-06-14T14:00:00+0000,AAPL,IEXG
67,132.62,133.74,132.5,133.28,131.88,4732.0,2022-06-14T13:00:00+0000,AAPL,IEXG
68,131.905,131.905,131.905,,,,2022-06-14T00:00:00+0000,AAPL,IEXG
69,132.745,132.9,132.685,,,,2022-06-13T23:00:00+0000,AAPL,IEXG
70,134.23,134.245,134.07,,,,2022-06-13T22:00:00+0000,AAPL,IEXG
71,133.725,133.735,133.62,,,,2022-06-13T21:00:00+0000,AAPL,IEXG
72,133.73,133.81,133.645,,,,2022-06-13T20:00:00+0000,AAPL,IEXG
73,132.94,135.2,132.565,132.745,137.13,1775120.0,2022-06-13T19:00:00+0000,AAPL,IEXG
74,132.94,135.2,132.565,134.245,137.13,1556142.0,2022-06-13T18:00:00+0000,AAPL,IEXG
75,132.94,135.2,132.565,133.72,137.13,1373029.0,2022-06-13T17:00:00+0000,AAPL,IEXG
76,132.94,135.2,132.565,133.765,137.13,1196552.0,2022-06-13T16:00:00+0000,AAPL,IEXG
77,132.94,135.2,132.565,133.08,137.13,854162.0,2022-06-13T15:00:00+0000,AAPL,IEXG
78,132.94,134.685,132.59,134.665,137.13,415903.0,2022-06-13T14:00:00+0000,AAPL,IEXG
79,132.94,133.48,132.82,132.94,137.13,9788.0,2022-06-13T13:00:00+0000,AAPL,IEXG
80,137.09,137.09,137.09,,,,2022-06-11T00:00:00+0000,AAPL,IEXG
81,138.765,138.92,138.75,,,,2022-06-10T23:00:00+0000,AAPL,IEXG
82,138.205,138.235,138.04,,,,2022-06-10T22:00:00+0000,AAPL,IEXG
83,137.78,137.86,137.7,,,,2022-06-10T21:00:00+0000,AAPL,IEXG
84,137.845,137.975,137.82,,,,2022-06-10T20:00:00+0000,AAPL,IEXG
85,143.08,143.3,137.27,138.77,142.64,1187776.0,2022-06-10T19:00:00+0000,AAPL,IEXG
86,143.08,143.3,137.27,138.08,142.64,1038401.0,2022-06-10T18:00:00+0000,AAPL,IEXG
