,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2018-01-02,43.065,43.075,42.315,42.54,AAPL,102223736,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.1776045939294503,0.1776045939294503,170.16,172.26,172.3,169.26,25555934,40.5747,41.0754,41.0849,40.3601,102223736,"Jan 2, 18",0.7575000000000003,0.0179
2018-01-03,43.0575,43.6375,42.99,43.1325,AAPL,118071596,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.1773995077932731,0.1773995077932731,172.53,172.23,174.55,171.96,29517899,41.1398,41.0682,41.6215,41.0039,118071596,"Jan 3, 18",-0.007500000000000284,-0.0002
2018-01-04,43.2575,43.3675,43.02,43.135,AAPL,89738388,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.18286847142466503,0.18286847142466503,172.54,173.03,173.47,172.08,22434597,41.1422,41.259,41.3639,41.0325,89738388,"Jan 4, 18",0.20000000000000284,0.0046
2018-01-05,43.75,43.8425,43.2625,43.36,AAPL,94640072,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.19633579436696744,0.19633579436696744,173.44,175,175.37,173.05,23660018,41.3568,41.7288,41.817,41.2638,94640072,"Jan 5, 18",0.4924999999999997,0.0114
2018-01-08,43.5875,43.9025,43.4825,43.5875,AAPL,82271064,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.19189226141646154,0.19189226141646154,174.35,174.35,175.61,173.93,20567766,41.5738,41.5738,41.8742,41.4736,82271064,"Jan 8, 18",-0.16250000000000142,-0.0037
2018-01-09,43.5825,43.765,43.3525,43.6375,AAPL,86335988,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.19175553732567685,0.19175553732567685,174.55,174.33,175.06,173.41,21583997,41.6215,41.569,41.7431,41.3496,86335988,"Jan 9, 18",-0.0049999999999954525,-0.0001
2018-01-10,43.5725,43.575,43.25,43.29,AAPL,95839580,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.19148208914410714,0.19148208914410714,173.16,174.29,174.3,173,23959895,41.29,41.5595,41.5618,41.2519,95839580,"Jan 10, 18",-0.010000000000005116,-0.0002
2018-01-11,43.82,43.8722,43.6225,43.6475,AAPL,74670916,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.1982499316379546,0.1982499316379546,174.59,175.28,175.4886,174.49,18667729,41.631,41.7955,41.8453,41.6071,74670916,"Jan 11, 18",0.24750000000000227,0.0057
2018-01-12,44.2725,44.34,43.9125,44.045,AAPL,101672320,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.21062346185397868,0.21062346185397868,176.18,177.09,177.36,175.65,25418080,42.0101,42.2271,42.2915,41.8837,101672320,"Jan 12, 18",0.45250000000000057,0.0103
2018-01-16,44.0475,44.8475,44.035,44.475,AAPL,118263788,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.20447087776866282,0.20447087776866282,177.9,176.19,179.39,176.14,29565947,42.4203,42.0125,42.7756,42.0006,118263788,"Jan 16, 18",-0.22500000000000142,-0.0051
2018-01-17,44.775,44.8125,43.7675,44.0375,AAPL,137547344,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.22436423297785066,0.22436423297785066,176.15,179.1,179.25,175.07,34386836,42.003,42.7064,42.7422,41.7454,137547344,"Jan 17, 18",0.7274999999999991,0.0165
2018-01-18,44.815,45.025,44.5625,44.8425,AAPL,124773408,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.22545802570412898,0.22545802570412898,179.37,179.26,180.1,178.25,31193352,42.7708,42.7446,42.9449,42.5037,124773408,"Jan 18, 18",0.03999999999999915,0.0009
2018-01-19,44.615,44.895,44.3525,44.6525,AAPL,129700268,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.21998906207273727,0.21998906207273727,178.61,178.46,179.58,177.41,32425067,42.5896,42.5538,42.8209,42.3034,129700268,"Jan 19, 18",-0.19999999999999574,-0.0045
2018-01-22,44.25,44.445,44.1504,44.325,AAPL,108434204,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.21000820344544707,0.21000820344544707,177.3,177,177.78,176.6016,27108551,42.2772,42.2057,42.3916,42.1107,108434204,"Jan 22, 18",-0.365000000000002,-0.0082
2018-01-23,44.26,44.86,44.205,44.325,AAPL,130756584,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.21028165162701662,0.21028165162701662,177.3,177.04,179.44,176.82,32689146,42.2772,42.2152,42.7875,42.1627,130756584,"Jan 23, 18",0.00999999999999801,0.0002
2018-01-24,43.555,44.325,43.3,44.3125,AAPL,204420360,HISTORICAL_PRICES,AAPL,,1652531939184.6118,0.1910035548263604,0.1910035548263604,177.25,174.22,177.3,173.2,51105090,42.2653,41.5428,42.2772,41.2995,204420360,"Jan 24, 18",-0.7049999999999983,-0.0159
