Date,AAPL,holdings,cash,total,returns
2011-08-11,1334.6428871154785,1334.6428871154785,98587.7142906189,99922.35717773438,0.0003579059159404263
2011-08-12,1346.3929176330566,1346.3929176330566,98587.7142906189,99934.10720825195,0.00011759160661783952
2011-08-15,1369.3214416503906,1369.3214416503906,98587.7142906189,99957.03573226929,0.00022943642223727245
2011-08-16,1358.8570594787598,1358.8570594787598,98587.7142906189,99946.57135009766,-0.00010468880049285811
2011-08-17,1358.7142944335938,1358.7142944335938,98587.7142906189,99946.42858505249,-1.4284136338194031e-06
2011-08-18,1307.3213577270508,1307.3213577270508,98587.7142906189,99895.03564834595,-0.0005142048338706573
2011-08-19,1271.5356826782227,1271.5356826782227,98587.7142906189,99859.24997329712,-0.00035823276718982555
2011-08-22,1272.9999542236328,1272.9999542236328,98587.7142906189,99860.71424484253,1.4663354128918726e-05
2011-08-23,1334.2857360839844,1334.2857360839844,98587.7142906189,99922.00002670288,0.0006137126328786824
2011-08-24,1343.50004196167,1343.50004196167,98587.7142906189,99931.21433258057,9.221498644174098e-05
2011-08-25,1334.7143173217773,1334.7143173217773,98587.7142906189,99922.42860794067,-8.791772119021157e-05
2011-08-26,1369.9286460876465,1369.9286460876465,98587.7142906189,99957.64293670654,0.0003524166621693414
2011-08-29,1392.7499771118164,1392.7499771118164,98587.7142906189,99980.46426773071,0.00022831001565948306
2011-08-30,1392.8214073181152,1392.8214073181152,98587.7142906189,99980.53569793701,7.14441634297458e-07
2011-08-31,1374.3928909301758,1374.3928909301758,98587.7142906189,99962.10718154907,-0.00018432104068355493
2011-09-01,1360.8214378356934,1360.8214378356934,98587.7142906189,99948.53572845459,-0.00013576597649977984
2011-09-02,1335.8928680419922,1335.8928680419922,98587.7142906189,99923.60715866089,-0.00024941405706457864
2011-09-06,1356.2143325805664,1356.2143325805664,98587.7142906189,99943.92862319946,0.00020337000551129414
2011-09-07,1371.1786270141602,1371.1786270141602,98587.7142906189,99958.89291763306,0.00014972689826930896
2011-09-08,1371.928596496582,1371.928596496582,98587.7142906189,99959.64288711548,7.502778997858783e-06
2011-09-09,1348.142910003662,1348.142910003662,98587.7142906189,99935.85720062256,-0.0002379528958479371
2011-09-12,1356.9286346435547,1356.9286346435547,98587.7142906189,99944.64292526245,8.791363666649232e-05
2011-09-13,1373.642921447754,1373.642921447754,98587.7142906189,99961.35721206665,0.00016723544469199325
2011-09-14,1390.3571128845215,1390.3571128845215,98587.7142906189,99978.07140350342,0.00016720652763146937
2011-09-15,1403.428554534912,1403.428554534912,98587.7142906189,99991.14284515381,0.00013074308662774925
2011-09-16,1430.3570747375488,1430.3570747375488,98587.7142906189,100018.07136535645,0.0002693090551464383
2011-09-19,1470.107078552246,1470.107078552246,98587.7142906189,100057.82136917114,0.00039742821744170875
2011-09-20,1476.6071319580078,1476.6071319580078,98587.7142906189,100064.3214225769,6.49629715780975e-05
2011-09-21,1471.928596496582,1471.928596496582,98587.7142906189,100059.64288711548,-4.675528095243742e-05
2011-09-22,1435.0713729858398,1435.0713729858398,98587.7142906189,100022.78566360474,-0.0003683525390183462
2011-09-23,1443.928623199463,1443.928623199463,98587.7142906189,100031.64291381836,8.855232490145859e-05
2011-09-26,1439.892864227295,1439.892864227295,98587.7142906189,100027.60715484619,-4.034482344394963e-05
2011-09-27,1425.9285926818848,1425.9285926818848,98587.7142906189,100013.64288330078,-0.00013960417471337028
2011-09-28,1417.8929328918457,1417.8929328918457,98587.7142906189,100005.60722351074,-8.034563643899428e-05
2011-09-29,1394.8928833007812,1394.8928833007812,98587.7142906189,99982.60717391968,-0.00022998759999182106
2011-09-30,1361.8571281433105,1361.8571281433105,98587.7142906189,99949.5714187622,-0.00033041502008446244
2011-10-03,1337.8570556640625,1337.8570556640625,98587.7142906189,99925.57134628296,-0.0002401218148169182
2011-10-04,1330.3570747375488,1330.3570747375488,98587.7142906189,99918.07136535645,-7.50556721914597e-05
2011-10-05,1350.8929252624512,1350.8929252624512,98587.7142906189,99938.60721588135,0.00020552689062425245
2011-10-06,1347.7499961853027,1347.7499961853027,98587.7142906189,99935.4642868042,-3.1448597941352574e-05
2011-10-07,1320.714282989502,1320.714282989502,98587.7142906189,99908.4285736084,-0.0002705317215339065
2011-10-10,1388.607120513916,1388.607120513916,98587.7142906189,99976.32141113281,0.0006795506494670089
2011-10-11,1429.607105255127,1429.607105255127,98587.7142906189,100017.32139587402,0.0004100969525835385
2011-10-12,1436.392879486084,1436.392879486084,98587.7142906189,100024.10717010498,6.784599043707651e-05
2011-10-13,1458.6786270141602,1458.6786270141602,98587.7142906189,100046.39291763306,0.0002228037635985114
2011-10-14,1507.1429252624512,1507.1429252624512,98587.7142906189,100094.85721588135,0.0004844182467247382
2011-10-17,1499.9643325805664,1499.9643325805664,98587.7142906189,100087.67862319946,-7.171789721827082e-05
2011-10-18,1507.9999923706055,1507.9999923706055,98587.7142906189,100095.7142829895,8.028620406208553e-05
2011-10-19,1423.642921447754,1423.642921447754,98587.7142906189,100011.35721206665,-0.0008427640636476941
2011-10-20,1411.8213653564453,1411.8213653564453,98587.7142906189,99999.53565597534,-0.00011820213644575528
2011-10-21,1403.1070709228516,1403.1070709228516,98587.7142906189,99990.82136154175,-8.714334898085596e-05
2011-10-24,1449.1786003112793,1449.1786003112793,98587.7142906189,100036.89289093018,0.0004607575851571788
2011-10-25,1420.607089996338,1420.607089996338,98587.7142906189,100008.32138061523,-0.0002856097334619223
2011-10-26,1430.7143211364746,1430.7143211364746,98587.7142906189,100018.42861175537,0.00010106390148956201
2011-10-27,1445.3213691711426,1445.3213691711426,98587.7142906189,100033.03565979004,0.00014604356654479567
2011-10-28,1446.2499618530273,1446.2499618530273,98587.7142906189,100033.96425247192,9.282860164772089e-06
2011-10-31,1445.6428527832031,1445.6428527832031,98587.7142906189,100033.3571434021,-6.069029397814951e-06
2011-11-01,1416.1070823669434,1416.1070823669434,98587.7142906189,100003.82137298584,-0.0002952592141231003
2011-11-02,1419.3214416503906,1419.3214416503906,98587.7142906189,100007.03573226929,3.214236455484354e-05
2011-11-03,1439.5357131958008,1439.5357131958008,98587.7142906189,100027.2500038147,0.00020212849423439927
2011-11-04,1429.4285774230957,1429.4285774230957,98587.7142906189,100017.14286804199,-0.00010104382328135486
2011-11-07,1427.6070594787598,1427.6070594787598,98587.7142906189,100015.32135009766,-1.821205737440046e-05
2011-11-08,1450.8213996887207,1450.8213996887207,98587.7142906189,100038.53569030762,0.00023210784004490392
2011-11-09,1411.714267730713,1411.714267730713,98587.7142906189,99999.42855834961,-0.0003909206755992045
2011-11-10,1375.785732269287,1375.785732269287,98587.7142906189,99963.50002288818,-0.0003592874077321673
2011-11-11,1373.642921447754,1373.642921447754,98587.7142906189,99961.35721206665,-2.143593232573071e-05
2011-11-14,1354.5000076293945,1354.5000076293945,98587.7142906189,99942.21429824829,-0.00019150314033600235
2011-11-15,1388.6786460876465,1388.6786460876465,98587.7142906189,99976.39293670654,0.00034198400243812266
2011-11-16,1374.1786003112793,1374.1786003112793,98587.7142906189,99961.89289093018,-0.00014503469619620013
2011-11-17,1347.8928565979004,1347.8928565979004,98587.7142906189,99935.6071472168,-0.0002629576426894653
2011-11-18,1339.0713691711426,1339.0713691711426,98587.7142906189,99926.78565979004,-8.827171494307784e-05
2011-11-21,1317.8929328918457,1317.8929328918457,98587.7142906189,99905.60722351074,-0.00021193953292364398
2011-11-22,1344.6785926818848,1344.6785926818848,98587.7142906189,99932.39288330078,0.000268109674065764
2011-11-23,1310.6785774230957,1310.6785774230957,98587.7142906189,99898.39286804199,-0.0003402301723975931
2011-11-25,1298.464298248291,1298.464298248291,98587.7142906189,99886.17858886719,-0.00012226702376427756
2011-11-28,1343.2856559753418,1343.2856559753418,98587.7142906189,99930.99994659424,0.00044872432162557097
2011-11-29,1332.8571319580078,1332.8571319580078,98587.7142906189,99920.5714225769,-0.00010435724672930302
2011-11-30,1364.9999618530273,1364.9999618530273,98587.7142906189,99952.71425247192,0.00032168380782260364
2011-12-01,1385.4642868041992,1385.4642868041992,98587.7142906189,99973.1785774231,0.00020474006238080378
2011-12-02,1391.785717010498,1391.785717010498,98587.7142906189,99979.5000076294,6.323126158691572e-05
2011-12-05,1403.6070823669434,1403.6070823669434,98587.7142906189,99991.32137298584,0.00011823789232345838
2011-12-06,1396.2499618530273,1396.2499618530273,98587.7142906189,99983.96425247192,-7.357759066384251e-05
2011-12-07,1389.6071434020996,1389.6071434020996,98587.7142906189,99977.321434021,-6.643883847368137e-05
2011-12-08,1395.2142715454102,1395.2142715454102,98587.7142906189,99982.9285621643,5.608400048018325e-05
2011-12-09,1405.7856559753418,1405.7856559753418,98587.7142906189,99993.49994659424,0.00010573189425389096
2011-12-12,1399.4285583496094,1399.4285583496094,98587.7142906189,99987.1428489685,-6.3575108673386e-05
2011-12-13,1388.607120513916,1388.607120513916,98587.7142906189,99976.32141113281,-0.00010822829343204443
2011-12-14,1357.8213691711426,1357.8213691711426,98587.7142906189,99945.53565979004,-0.00030793042700749673
2011-12-15,1353.3571243286133,1353.3571243286133,98587.7142906189,99941.07141494751,-4.466677589010093e-05
2011-12-16,1360.7856750488281,1360.7856750488281,98587.7142906189,99948.49996566772,7.43293084117802e-05
2011-12-19,1365.0357246398926,1365.0357246398926,98587.7142906189,99952.75001525879,4.2522394958721677e-05
2011-12-20,1414.1071319580078,1414.1071319580078,98587.7142906189,100001.8214225769,0.0004909460451125724
2011-12-21,1415.8928871154785,1415.8928871154785,98587.7142906189,100003.60717773438,1.7857226319195618e-05
2011-12-22,1423.3928680419922,1423.3928680419922,98587.7142906189,100011.10715866089,7.499710398639614e-05
2011-12-23,1440.4643058776855,1440.4643058776855,98587.7142906189,100028.17859649658,0.0001706954189459875
2011-12-27,0.0,0.0,100039.6071434021,100039.6071434021,0.00011425327408609576
2011-12-28,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2011-12-29,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2011-12-30,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2012-01-03,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2012-01-04,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2012-01-05,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2012-01-06,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2012-01-09,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2012-01-10,0.0,0.0,100039.6071434021,100039.6071434021,0.0
2012-01-11,1509.1071128845215,1509.1071128845215,98530.50003051758,100039.6071434021,0.0
2012-01-12,1504.964256286621,1504.964256286621,98530.50003051758,100035.4642868042,-4.141216380393331e-05
2012-01-13,1499.3213653564453,1499.3213653564453,98530.50003051758,100029.82139587402,-5.640890428615375e-05
2012-01-17,1516.785717010498,1516.785717010498,98530.50003051758,100047.28574752808,0.00017459145093279282
2012-01-18,1532.535743713379,1532.535743713379,98530.50003051758,100063.03577423096,0.0001574258270495843
2012-01-19,1527.6785850524902,1527.6785850524902,98530.50003051758,100058.17861557007,-4.854098842099752e-05
2012-01-20,1501.0713577270508,1501.0713577270508,98530.50003051758,100031.57138824463,-0.0002659175660958413
2012-01-23,1526.4642715454102,1526.4642715454102,98530.50003051758,100056.96430206299,0.00025384899453206877
2012-01-24,1501.4642715454102,1501.4642715454102,98530.50003051758,100031.96430206299,-0.00024985767032192907
2012-01-25,1595.2142715454102,1595.2142715454102,98530.50003051758,100125.71430206299,0.000937200430423557
2012-01-26,1587.9643440246582,1587.9643440246582,98530.50003051758,100118.46437454224,-7.240824768428578e-05
2012-01-27,1597.4286079406738,1597.4286079406738,98530.50003051758,100127.92863845825,9.453065401210381e-05
2012-01-30,1617.892837524414,1617.892837524414,98530.50003051758,100148.39286804199,0.00020438083421892017
